Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Sobuj1,08/07/2010,Male,Islam,sobujj1@example.com,1762681701,Dhaka,10,A,Bangla Version,Morning,1,A+,Dhaka,Bangladesh,ssd,Science,Biology,1762681801
Sobuj2,08/06/2010,Male,Islam,sobujj2@example.com,1762681702,Dhaka,10,A,Bangla Version,Morning,2,A+,Dhaka,Bangladesh,hhjkjk,Science,Biology,1762681802
Sobuj3,08/06/2010,Male,Islam,sobujj3@example.com,1762681703,Dhaka,10,A,Bangla Version,Morning,3,A+,Dhaka,Bangladesh,joiio,Science,Biology,1762681803
Sobuj4,08/06/2010,Male,Islam,sobujj4@example.com,1762681704,Dhaka,10,A,Bangla Version,Morning,4,A+,Dhaka,Bangladesh,kklm,Commerce,Statistics,1762681804
Sobuj5,08/06/2010,Male,Islam,sobujj5@example.com,1762681705,Dhaka,10,A,Bangla Version,Morning,5,B+,Dhaka,Bangladesh,jjjk,Commerce,Statistics,1762681805
Sobuj6,08/06/2010,Male,Islam,sobujj6@example.com,1762681706,Dhaka,10,A,Bangla Version,Morning,6,B+,Dhaka,Bangladesh,bhgyr,Commerce,Statistics,1762681806
Sobuj7,08/06/2010,Male,Islam,sobujj7@example.com,1762681707,Dhaka,10,A,Bangla Version,Morning,7,B+,Dhaka,Bangladesh,jhhh,Humanities,Pouroniti,1762681807
Sobuj8,08/06/2010,Male,Islam,sobujj8@example.com,1762681708,Tangail,10,A,Bangla Version,Morning,8,AB+,Dhaka,Bangladesh,jkhieie,Humanities,Pouroniti,1762681808
Sobuj9,08/06/2010,Male,Hindu ,sobujj9@example.com,1762681709,Tangail,10,A,Bangla Version,Morning,9,O+,Dhaka,Bangladesh,mjkjk,Humanities,Pouroniti,1762681809
Sobuj10,08/06/2010,Male,Hindu ,sobujj10@example.com,1762681710,Tangail,10,A,Bangla Version,Morning,10,O+,Dhaka,Bangladesh,nfdkl,Humanities,Pouroniti,1762681810
Sobuj11,08/06/2010,Male,Islam,sobujj11@example.com,1762681711,Tangail,10,B,Bangla Version,Morning,1,O+,Dhaka,Bangladesh,jkfjfjoj,Science,Biology,1762681811
Sobuj12,08/06/2010,Male,Hindu ,sobujj12@example.com,1762681712,Tangail,10,B,Bangla Version,Morning,2,B+,Dhaka,Bangladesh,mfnkjkkl,Science,Biology,1762681812
Sobuj13,08/06/2010,Male,Hindu ,sobujj13@example.com,1762681713,Tangail,10,B,Bangla Version,Morning,3,B+,Dhaka,Bangladesh,kjijk,Science,Biology,1762681813
Sobuj14,08/06/2010,Male,Islam,sobujj14@example.com,1762681714,Manikganj,10,B,Bangla Version,Morning,4,B+,Dhaka,Bangladesh,kjkjiuioi,Commerce,Statistics,1762681814
Sobuj15,08/06/2010,Male,Islam,sobujj15@example.com,1762681715,Manikganj,10,B,Bangla Version,Morning,5,B+,Dhaka,Bangladesh,kiiuop,Commerce,Statistics,1762681815
Sobuj16,08/06/2010,Male,Islam,sobujj16@example.com,1762681716,Manikganj,10,B,Bangla Version,Morning,6,A+,Dhaka,Bangladesh,yhwgh,Commerce,Statistics,1762681816
Sobuj17,08/06/2010,Male,Islam,sobujj17@example.com,1762681717,Manikganj,10,B,Bangla Version,Morning,7,A+,Dhaka,Bangladesh,kiu,Humanities,Pouroniti,1762681817
