Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Hema 1,11/28/2007,Male,Islam,Hema1@example.com,1762681520,South,4,A,Bangla Version,Morning,1,A+,Dhaka,Bangladesh,hhf,General,Agriculture,2355565198
Hema 2,11/29/2007,Female,Islam,Hema2@example.com,1762681521,Dhaka,4,A,Bangla Version,Morning,2,B+,Chittagong,Bangladesh,ghmgh,General,Agriculture,2573287181
Hema 3,11/30/2007,Male,Islam,Hema3@example.com,1762681522,South,4,A,Bangla Version,Morning,3,A+,Dhaka,Bangladesh,jnfgj,General,Agriculture,2791009164
Hema 4,12/11/2007,Female,Islam,Hema4@example.com,1762681523,Dhaka,4,A,Bangla Version,Morning,4,B+,Chittagong,Bangladesh,jfg,General,Agriculture,3008731147
Hema 5,12/11/2007,Male,Islam,Hema5@example.com,1762681524,South,4,A,Bangla Version,Morning,5,A+,Dhaka,Bangladesh,fgfg,General,Agriculture,3226453130
Hema 6,12/11/2007,Female,Islam,Hema6@example.com,1762681525,Dhaka,4,A,Bangla Version,Morning,6,B+,Chittagong,Bangladesh,tht,General,Agriculture,3444175113
Hema 7,12/11/2007,Male,Islam,Hema7@example.com,1762681526,South,4,A,Bangla Version,Morning,7,A+,Dhaka,Bangladesh,rtyrth,General,Agriculture,3661897096
Hema 8,12/11/2007,Female,Islam,Hema8@example.com,1762681527,Dhaka,4,A,Bangla Version,Morning,8,B+,Chittagong,Bangladesh,jjgjh,General,Agriculture,3879619079
Hema 9,12/11/2007,Male,Islam,Hema9@example.com,1762681528,South,4,A,Bangla Version,Morning,9,A+,Dhaka,Bangladesh,rtyrth,General,Agriculture,4097341062
Hema 10,12/11/2007,Female,Islam,Hema10@example.c0m,1762681529,Dhaka,4,A,Bangla Version,Morning,10,B+,Chittagong,Bangladesh,reyer,General,Agriculture,4315063045
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
