Name,Dob,Gender,Religion,,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,Optional Subject,ParentPhone
Mustafiz 81,09/05/2000,Female,Islam,Mustafiz81@example.com,01962121301,Dhaka,10,A,Bangla Version,Morning,1,B+,Chittagong,Bangladesh,sjkkhask11,General,Physical Education,01701556320
Mustafiz 82,09/05/2001,Male,Islam,Mustafiz82@example.com,01962121302,South,10,A,Bangla Version,Morning,2,A+,Dhaka,Bangladesh,sjkkhask12,General,Physical Education,01701556321
Mustafiz 83,09/05/2002,Female,Islam,Mustafiz83@example.com,01962121303,Dhaka,10,A,Bangla Version,Morning,3,B+,Chittagong,Bangladesh,sjkkhask13,General,Physical Education,01701556322
Mustafiz 84,09/05/2003,Male,Islam,Mustafiz84@example.com,01962121304,South,10,A,Bangla Version,Morning,4,A+,Dhaka,Bangladesh,sjkkhask14,General,Physical Education,01701556323
Mustafiz 85,09/05/2004,Female,Islam,Mustafiz85@example.com,01962121305,Dhaka,10,A,Bangla Version,Morning,5,B+,Chittagong,Bangladesh,sjkkhask15,General,Physical Education,01701556324
Mustafiz 86,09/05/2005,Male,Islam,Mustafiz86@example.com,01962121306,South,10,A,Bangla Version,Morning,6,A+,Dhaka,Bangladesh,sjkkhask16,General,Physical Education,01701556325
Mustafiz 87,09/05/2006,Female,Islam,Mustafiz87@example.com,01962121307,Dhaka,10,A,Bangla Version,Morning,7,B+,Chittagong,Bangladesh,sjkkhask17,General,Physical Education,01701556326
Mustafiz 88,09/05/2007,Male,Islam,Mustafiz88@example.com,01962121308,South,10,A,Bangla Version,Morning,8,A+,Dhaka,Bangladesh,sjkkhask18,General,Physical Education,01701556327
Mustafiz 89,09/05/2008,Female,Islam,Mustafiz89@example.com,01962121309,Dhaka,10,A,Bangla Version,Morning,9,B+,Chittagong,Bangladesh,sjkkhask19,General,Physical Education,01701556328
Mustafiz 90,09/05/2009,Male,Islam,Mustafiz90@example.com,01962121310,South,10,A,Bangla Version,Morning,10,A+,Dhaka,Bangladesh,sjkkhask20,General,Physical Education,01701556329
Mustafiz 91,09/05/2010,Female,Islam,Mustafiz91@example.com,01962121311,Dhaka,10,A,Bangla Version,Morning,1,B+,Chittagong,Bangladesh,sjkkhask21,General,Physical Education,01701556330
