Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Aminul Islam,12/13/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,1,A+,Dhaka,Bangladeshi,aminulislam,Science,Biology,1920121232
Swapna Biswas,12/14/2003,Male,Islam,,1.76265E+11,Chittagong,12,A,English Version,Day,2,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843215
Test Student Name 1,12/15/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,3,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843216
Test Student Name 2,12/16/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,4,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843217
Test Student Name 3,12/17/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,5,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843218
Test Student Name 4,12/18/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,6,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843219
Test Student Name 5,12/19/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,7,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843220
Test Student Name 6,12/20/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,8,A+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843221
Test Student Name 7,12/21/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,9,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843222
Test Student Name 8,12/22/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,10,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843223
Test Student Name 9,12/23/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,11,AB+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843224
Test Student Name 10,12/24/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,12,A+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843225
Test Student Name 11,12/25/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,13,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843226
Test Student Name 12,12/26/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,14,O+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843227
Test Student Name 13,12/27/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,15,O+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843228
Test Student Name 14,12/28/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,16,O+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843229
Test Student Name 15,12/29/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,17,O+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843230
Test Student Name 16,12/30/2003,Male,Islam,,1.76265E+11,Dhaka,12,A,English Version,Day,18,B+,Dhaka,Bangladeshi,aminulislam,Science,Biology,2137843231
