Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Aminul Islam,12/13/2010,Male,Islam,aminu1l@example.com,17626810050,Dhaka,11,A,English  Version,Day,1,A+,Dhaka,Bangladeshi,aminulislam,Science,Biology,1.92012E+11
Test name 17,12/14/2010,Male,Islam,swapna1233@example.com,17626810051,Dhaka,11,A,English  Version,Day,2,B+,Dhaka,Bangladeshi,swapnabiswas 17,Science,Biology,1.92012E+11
Test name 18,12/15/2010,Male,Islam,swapna1333@example.com,17626810052,Dhaka,11,A,English  Version,Day,3,B+,Dhaka,Bangladeshi,swapnabiswas 18,Science,Biology,1.92012E+11
Test name 19,12/16/2010,Male,Islam,swapna133@example.com,17626810053,Dhaka,11,A,English  Version,Day,4,B+,Dhaka,Bangladeshi,swapnabiswas 19,Science,Biology,1.92012E+11
Test name 20,12/17/2010,Male,Islam,swapna1w33@example.com,17626810054,Dhaka,11,A,English  Version,Day,5,B+,Dhaka,Bangladeshi,swapnabiswas 20,Science,Biology,1.92012E+11
Test name 21,12/18/2010,Male,Islam,swapna133@example.com,17626810055,Dhaka,11,A,English  Version,Day,6,B+,Dhaka,Bangladeshi,swapnabiswas 21,Science,Biology,1.92012E+11
Test name 22,12/19/2010,Male,Islam,swapna1s33@example.com,17626810056,Dhaka,11,A,English  Version,Day,7,B+,Dhaka,Bangladeshi,swapnabiswas 22,Science,Biology,1.92012E+11
Test name 23,12/20/2010,Male,Islam,swapna1a33@example.com,17626810057,Dhaka,11,A,English  Version,Day,8,B+,Dhaka,Bangladeshi,swapnabiswas 23,Science,Biology,1.92012E+11
Test name 24,12/21/2010,Male,Islam,aminu31l@example.com,17626810058,Dhaka,11,A,English  Version,Day,9,B+,Dhaka,Bangladeshi,swapnabiswas 24,Science,Biology,1.92012E+11
Test name 25,12/22/2010,Male,Islam,aminu331l@example.com,17626810059,Dhaka,11,B,English  Version,Day,1,O+,Dhaka,Bangladeshi,swapnabiswas 25,Commerce,Computer,1920121258
Test name 26,12/23/2010,Female,Islam,aminu1l@exampdele.com,17626810060,Dhaka,11,B,English  Version,Day,2,O+,Dhaka,Bangladeshi,swapnabiswas 26,Commerce,Computer,1920121259
Test name 27,12/24/2010,Female,Islam,aminu221l@example.com,17626810061,Dhaka,11,B,English  Version,Day,3,O+,Dhaka,Bangladeshi,swapnabiswas 27,Commerce,Computer,1920121260
