Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Username,Password,Roll,BloodGroup,State,Country,RegistrationNO,Group,OptionalSubject
Shiplu Hasan ,11-Dec-10,Male,Islam,shipuaa@email.com,01762681525,Dhaka,1,A,shipu,123456,1,A+,Dhaka,Bangladeshi,91355384,Science,Bangla
Dipu Dash,28-Apr-11,Male,Hindu,dipuaaa@gmail.com,01716433476,Pabna,1,A,dipu,123456,2,B+,Khulna,Bangladeshi,91388386,Science,Bangla
Saima Rahman,01-Dec-11,Female,Islam,Saima11@yahoo.com,01716433477,Gazipur,1,A,,,3,O+,Dhaka,Bangladeshi,91388387,Science,Art
Kabir Hossain,10-Oct-11,Male,Islam,kabir22@gmail.com,01762681587,Bogra,1,A,,,4,AB+,Rajsahi,Bangladeshi,91388388,Science,Mathmatics
Sumonto Gomes,18-Aug-11,Female,Christian,sumonto.00@yahoo.com,01676909830,Pirojpur,1,A,,,5,O-,Borishal,Bangladeshi,91388389,Science,Bangla
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
