Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,Parents Phone
Swapno 1,12/31/2005,male,hindu,swapno1example.com,1762681601,Tangail,13,A,Bangla Version,Day,19,O+,Tangail,Bangladeshi,Swapno,Science,Biology,1762681601
Swapno 2,12/31/2005,male,Islam,swapno2example.com,1762681602,Sylhet,13,A,Bangla Version,Day,20,A+,Sylhet,Bangladeshi,aaa ,Science,Biology,1762681602
Swapno 3,12/31/2005,male,Islam,swapno3example.com,1762681603,Barisal,13,A,Bangla Version,Day,21,B+,Barisal,Bangladeshi,BBB,Science,Biology,1762681603
Swapno 4,12/31/2005,male,Islam,swapno4example.com,1762681604,Comilla,13,A,Bangla Version,Day,22,AB+,Comilla,Bangladeshi,ccc ,Science,Biology,1762681604
Swapno 5,12/31/2005,male,Islam,swapno5example.com,1762681605,Dhaka,13,A,Bangla Version,Day,23,O+,Dhaka,Bangladeshi,ddd,Science,Biology,1762681605
Swapno 6,12/31/2005,male,Islam,swapno6example.com,1762681606,Tangail,13,A,Bangla Version,Day,24,A+,Tangail,Bangladeshi,eee,Science,Biology,1762681606
Swapno 7,12/31/2005,male,Islam,swapno7example.com,1762681607,Sylhet,13,A,Bangla Version,Day,25,B+,Sylhet,Bangladeshi,ffff,Science,Biology,1762681607
Swapno 8,12/31/2005,male,Islam,swapno8example.com,1762681608,Barisal,13,A,Bangla Version,Day,26,AB+,Barisal,Bangladeshi,gggg,Science,Biology,1762681608
Swapno 9,12/31/2005,male,Islam,swapno9example.com,1762681609,Comilla,13,A,Bangla Version,Day,27,O+,Comilla,Bangladeshi,hhh,Science,Biology,1762681609
Swapno 10,12/31/2005,male,hindu,swapno10example.com,1762681610,Dhaka,13,A,Bangla Version,Day,28,A+,Dhaka,Bangladeshi,iiii,Science,Biology,1762681610
Swapno 11,12/31/2005,male,hindu,swapno11example.com,1762681611,Tangail,13,A,Bangla Version,Day,29,B+,Tangail,Bangladeshi,aaa ,Science,Biology,1762681611
Swapno 12,12/31/2005,male,hindu,swapno12example.com,1762681612,Sylhet,13,A,Bangla Version,Day,30,AB+,Sylhet,Bangladeshi,BBB,Science,Biology,1762681612
Swapno 13,12/31/2005,male,Islam,swapno13example.com,1762681613,Barisal,13,A,Bangla Version,Day,31,O+,Barisal,Bangladeshi,ccc ,Science,Biology,1762681613
Swapno 14,12/31/2005,male,Islam,swapno14example.com,1762681614,Comilla,13,A,Bangla Version,Day,32,A+,Comilla,Bangladeshi,ddd,Science,Biology,1762681614
Swapno 15,12/31/2005,male,Islam,swapno15example.com,1762681615,Dhaka,13,A,Bangla Version,Day,33,B+,Dhaka,Bangladeshi,eee,Science,Biology,1762681615
Swapno 16,12/31/2005,male,Islam,swapno16example.com,1762681616,Tangail,13,A,Bangla Version,Day,34,AB+,Tangail,Bangladeshi,ffff,Science,Biology,1762681616
Swapno 17,12/31/2005,male,Islam,swapno17example.com,1762681617,Sylhet,13,A,Bangla Version,Day,35,O+,Sylhet,Bangladeshi,gggg,Science,Biology,1762681617
Swapno 18,12/31/2005,male,Islam,swapno18example.com,1762681618,Barisal,13,A,Bangla Version,Day,36,A+,Barisal,Bangladeshi,hhh,Science,Biology,1762681618
Swapno 19,12/31/2005,male,Islam,swapno19example.com,1762681619,Comilla,13,A,Bangla Version,Day,37,B+,Comilla,Bangladeshi,iiii,Science,Biology,1762681619
Swapno 20,12/31/2005,male,Islam,swapno20example.com,1762681620,Dhaka,13,A,Bangla Version,Day,38,AB+,Dhaka,Bangladeshi,aaa ,Science,Biology,1762681620
Swapno 21,12/31/2005,male,Islam,swapno21example.com,1762681621,Tangail,13,A,Bangla Version,Day,39,O+,Tangail,Bangladeshi,BBB,Science,Biology,1762681621
Swapno 22,12/31/2005,male,Islam,swapno22example.com,1762681622,Sylhet,13,A,Bangla Version,Day,40,A+,Sylhet,Bangladeshi,ccc ,Science,Biology,1762681622
Swapno 23,12/31/2005,male,Islam,swapno23example.com,1762681623,Barisal,13,A,Bangla Version,Day,41,B+,Barisal,Bangladeshi,ddd,Science,Biology,1762681623
Swapno 24,12/31/2005,male,hindu,swapno24example.com,1762681624,Comilla,13,A,Bangla Version,Day,42,AB+,Comilla,Bangladeshi,eee,Science,Biology,1762681624
Swapno 25,12/31/2005,male,hindu,swapno25example.com,1762681625,Dhaka,13,A,Bangla Version,Day,43,O+,Dhaka,Bangladeshi,ffff,Science,Biology,1762681625
Swapno 26,12/31/2005,male,Islam,swapno26example.com,1762681626,Tangail,13,A,Bangla Version,Day,44,A+,Tangail,Bangladeshi,gggg,Science,Biology,1762681626
Swapno 27,12/31/2005,male,Islam,swapno27example.com,1762681627,Sylhet,13,A,Bangla Version,Day,45,B+,Sylhet,Bangladeshi,hhh,Science,Biology,1762681627
Swapno 28,12/31/2005,male,Islam,swapno28example.com,1762681628,Barisal,13,A,Bangla Version,Day,46,AB+,Barisal,Bangladeshi,iiii,Science,Biology,1762681628
Swapno 29,12/31/2005,male,Islam,swapno29example.com,1762681629,Comilla,13,A,Bangla Version,Day,47,O+,Comilla,Bangladeshi,aaa ,Science,Biology,1762681629
Swapno 30,12/31/2005,male,Islam,swapno30example.com,1762681630,Dhaka,13,A,Bangla Version,Day,48,A+,Dhaka,Bangladeshi,BBB,Science,Biology,1762681630
Swapno 31,12/31/2005,male,Islam,swapno31example.com,1762681631,Tangail,13,A,Bangla Version,Day,49,B+,Tangail,Bangladeshi,ccc ,Science,Biology,1762681631
Swapno 32,12/31/2005,male,Islam,swapno32example.com,1762681632,Sylhet,13,A,Bangla Version,Day,50,AB+,Sylhet,Bangladeshi,ddd,Science,Biology,1762681632
Swapno 33,12/31/2005,male,Islam,swapno33example.com,1762681633,Barisal,13,A,Bangla Version,Day,51,O+,Barisal,Bangladeshi,eee,Science,Biology,1762681633
Swapno 34,12/31/2005,male,Islam,swapno34example.com,1762681634,Comilla,13,A,Bangla Version,Day,52,A+,Comilla,Bangladeshi,ffff,Science,Biology,1762681634
Swapno 35,12/31/2005,male,Islam,swapno35example.com,1762681635,Dhaka,13,A,Bangla Version,Day,53,B+,Dhaka,Bangladeshi,gggg,Science,Biology,1762681635
Swapno 36,12/31/2005,male,hindu,swapno36example.com,1762681636,Tangail,13,A,Bangla Version,Day,54,AB+,Tangail,Bangladeshi,hhh,Science,Biology,1762681636
Swapno 37,12/31/2005,male,hindu,swapno37example.com,1762681637,Sylhet,13,A,Bangla Version,Day,55,O+,Sylhet,Bangladeshi,iiii,Science,Biology,1762681637
Swapno 38,12/31/2005,male,hindu,swapno38example.com,1762681638,Barisal,13,A,Bangla Version,Day,56,A+,Barisal,Bangladeshi,aaa ,Science,Biology,1762681638
Swapno 39,12/31/2005,male,Islam,swapno39example.com,1762681639,Comilla,13,A,Bangla Version,Day,57,B+,Comilla,Bangladeshi,BBB,Science,Biology,1762681639
Swapno 40,12/31/2005,male,Islam,swapno40example.com,1762681640,Dhaka,13,A,Bangla Version,Day,58,AB+,Dhaka,Bangladeshi,ccc ,Science,Biology,1762681640
Swapno 41,12/31/2005,male,Islam,swapno41example.com,1762681641,Tangail,13,A,English Version,Day,59,O+,Tangail,Bangladeshi,ddd,Science,Biology,1762681641
Swapno 42,12/31/2005,male,Islam,swapno42example.com,1762681642,Sylhet,13,A,English Version,Day,60,A+,Sylhet,Bangladeshi,eee,Science,Biology,1762681642
Swapno 43,12/31/2005,male,Islam,swapno43example.com,1762681643,Barisal,13,A,English Version,Day,61,B+,Barisal,Bangladeshi,ffff,Science,Biology,1762681643
Swapno 44,12/31/2005,male,Islam,swapno44example.com,1762681644,Comilla,13,A,English Version,Day,62,AB+,Comilla,Bangladeshi,gggg,Science,Biology,1762681644
Swapno 45,12/31/2005,male,Islam,swapno45example.com,1762681645,Dhaka,13,A,English Version,Day,63,O+,Dhaka,Bangladeshi,hhh,Science,Biology,1762681645
Swapno 46,12/31/2005,male,Islam,swapno46example.com,1762681646,Tangail,13,A,English Version,Day,64,A+,Tangail,Bangladeshi,iiii,Science,Biology,1762681646
Swapno 47,12/31/2005,male,hindu,swapno47example.com,1762681647,Sylhet,13,A,English Version,Day,65,B+,Sylhet,Bangladeshi,aaa ,Science,Biology,1762681647
Swapno 48,12/31/2005,male,hindu,swapno48example.com,1762681648,Barisal,13,A,English Version,Day,66,AB+,Barisal,Bangladeshi,BBB,Science,Biology,1762681648
Swapno 49,12/31/2005,male,hindu,swapno49example.com,1762681649,Comilla,13,A,English Version,Day,67,O+,Comilla,Bangladeshi,ccc ,Science,Biology,1762681649
Swapno 50,12/31/2005,male,Islam,swapno50example.com,1762681650,Dhaka,13,A,English Version,Day,68,A+,Dhaka,Bangladeshi,ddd,Science,Biology,1762681650
Swapno 51,12/31/2005,male,Islam,swapno51example.com,1762681651,Tangail,13,A,English Version,Day,69,B+,Tangail,Bangladeshi,eee,Science,Biology,1762681651
Swapno 52,12/31/2005,male,Islam,swapno52example.com,1762681652,Sylhet,13,A,English Version,Day,70,AB+,Sylhet,Bangladeshi,ffff,Science,Biology,1762681652
Swapno 53,12/31/2005,male,Islam,swapno53example.com,1762681653,Barisal,13,A,English Version,Day,71,O+,Barisal,Bangladeshi,gggg,Science,Biology,1762681653
Swapno 54,12/31/2005,male,Islam,swapno54example.com,1762681654,Comilla,13,A,English Version,Day,72,A+,Comilla,Bangladeshi,hhh,Science,Biology,1762681654
Swapno 55,12/31/2005,male,Islam,swapno55example.com,1762681655,Dhaka,13,A,English Version,Day,73,B+,Dhaka,Bangladeshi,iiii,Science,Biology,1762681655
Swapno 56,12/31/2005,male,Islam,swapno56example.com,1762681656,Tangail,13,A,English Version,Day,74,AB+,Tangail,Bangladeshi,aaa ,Science,Biology,1762681656
Swapno 57,12/31/2005,male,Islam,swapno57example.com,1762681657,Sylhet,13,A,English Version,Day,75,O+,Sylhet,Bangladeshi,BBB,Science,Biology,1762681657
Swapno 58,12/31/2005,male,Islam,swapno58example.com,1762681658,Barisal,13,A,English Version,Day,76,A+,Barisal,Bangladeshi,ccc ,Science,Biology,1762681658
Swapno 59,12/31/2005,male,Islam,swapno59example.com,1762681659,Comilla,13,A,English Version,Day,77,B+,Comilla,Bangladeshi,ddd,Science,Biology,1762681659
Swapno 60,12/31/2005,male,Islam,swapno60example.com,1762681660,Dhaka,13,A,English Version,Day,78,AB+,Dhaka,Bangladeshi,eee,Science,Biology,1762681660
Swapno 61,12/31/2005,male,hindu,swapno61example.com,1762681661,Tangail,13,A,English Version,Day,79,O+,Tangail,Bangladeshi,ffff,Science,Biology,1762681661
Swapno 62,12/31/2005,male,hindu,swapno62example.com,1762681662,Sylhet,13,A,English Version,Day,80,A+,Sylhet,Bangladeshi,gggg,Science,Biology,1762681662
Swapno 63,12/31/2005,male,Islam,swapno63example.com,1762681663,Barisal,13,A,English Version,Day,81,B+,Barisal,Bangladeshi,hhh,Science,Biology,1762681663
