Name,Dob,Gender,Religion,Mail,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Tushi 81,02/25/1950,Female,Islam,Tushi 81@example.com,1762681381,Dhaka,1,A,Bangla Version,Morning,11,A+,Dhaka,Bangladesh,agg,General,Agriculture,1762681281
Tushi 82,02/25/1951,Female,Islam,Tushi 82@example.com,1762681382,Dhaka,1,A,Bangla Version,Morning,12,A+,Dhaka,Bangladesh,jj,General,Agriculture,1762681282
Tushi 83,02/25/1952,Female,Islam,Tushi 83@example.com,1762681383,Dhaka,1,A,Bangla Version,Morning,13,B+,Dhaka,Bangladesh,kjkjk,General,Agriculture,1762681283
Tushi 84,02/25/1953,Female,Islam,Tushi 84@example.com,1762681384,Dhaka,1,A,Bangla Version,Morning,14,B+,Dhaka,Bangladesh,njlk,General,Agriculture,1762681284
Tushi 85,02/25/1954,Female,Islam,Tushi 85@example.com,1762681385,Comilla,1,A,Bangla Version,Morning,15,B+,Comilla,Bangladesh,yy,General,Agriculture,1762681285
Tushi 86,02/25/1955,Male,Islam,Tushi 86@example.com,1762681386,Comilla,1,A,Bangla Version,Morning,16,AB+,Comilla,Bangladesh,hgy,General,Agriculture,1762681286
Tushi 87,02/25/1956,Male,Islam,Tushi 87@example.com,1762681387,Comilla,1,A,Bangla Version,Morning,17,AB+,Comilla,Bangladesh,fd,General,Agriculture,1762681287
Tushi 88,02/25/1957,Male,Hindu,Tushi 88@example.com,1762681388,Chittagong,1,A,Bangla Version,Morning,18,O+,Chittagong,Bangladesh,gf,General,Agriculture,1762681288
Tushi 89,02/25/1958,Male,Hindu,Tushi 89@example.com,1762681389,Chittagong,1,A,Bangla Version,Morning,19,O+,Chittagong,Bangladesh, gh,General,Agriculture,1762681289
Tushi 90,02/25/1959,Male,Hindu,Tushi 90@example.com,1762681390,Sylhet,1,A,Bangla Version,Morning,20,O+,Sylhet,Bangladesh,hjh,General,Agriculture,1762681290
Tushi 91,02/25/1960,Female,Islam,Tushi 91@example.com,1762681391,Dhaka,1,B,Bangla Version,Morning,11,A+,Dhaka,Bangladesh,bh,General,Agriculture,1762681291
Tushi 92,02/25/1961,Female,Islam,Tushi 92@example.com,1762681392,Dhaka,1,B,Bangla Version,Morning,12,A+,Dhaka,Bangladesh,tr,General,Agriculture,1762681292
Tushi 93,02/25/1962,Female,Islam,Tushi 93@example.com,1762681393,Dhaka,1,B,Bangla Version,Morning,13,B+,Dhaka,Bangladesh,uy,General,Agriculture,1762681293
Tushi 94,02/25/1963,Female,Islam,Tushi 94@example.com,1762681394,Dhaka,1,B,Bangla Version,Morning,14,B+,Dhaka,Bangladesh,vhy,General,Agriculture,1762681294
Tushi 95,02/25/1964,Female,Islam,Tushi 95@example.com,1762681395,Comilla,1,B,Bangla Version,Morning,15,B+,Comilla,Bangladesh,bh,General,Agriculture,1762681295
Tushi 96,02/25/1965,Male,Islam,Tushi 96@example.com,1762681396,Comilla,1,B,Bangla Version,Morning,16,AB+,Comilla,Bangladesh,h,General,Agriculture,1762681296
Tushi 97,02/25/1966,Male,Islam,Tushi 97@example.com,1762681397,Comilla,1,B,Bangla Version,Morning,17,AB+,Comilla,Bangladesh,jj,General,Agriculture,1762681297
Tushi 98,02/25/1967,Male,Hindu,Tushi 98@example.com,1762681398,Chittagong,1,B,Bangla Version,Morning,18,O+,Chittagong,Bangladesh,ioio,General,Agriculture,1762681298
Tushi 99,02/25/1968,Male,Hindu,Tushi 99@example.com,1762681399,Chittagong,1,B,Bangla Version,Morning,19,O+,Chittagong,Bangladesh,rrt,General,Agriculture,1762681299
Tushi 100,02/25/1969,Male,Hindu,Tushi 100@example.com,1762681400,Sylhet,1,B,Bangla Version,Morning,20,O+,Sylhet,Bangladesh,hjh,General,Agriculture,1762681300
Tushi 101,02/25/1970,Female,Islam,Tushi 101@example.com,1762681401,Dhaka,1,A,Bangla Version,Day,11,A+,Dhaka,Bangladesh,hb ,General,Agriculture,1762681301
Tushi 102,02/25/1971,Female,Islam,Tushi 102@example.com,1762681402,Dhaka,1,A,Bangla Version,Day,12,A+,Dhaka,Bangladesh,gf,General,Agriculture,1762681302
Tushi 103,02/25/1972,Female,Islam,Tushi 103@example.com,1762681403,Dhaka,1,A,Bangla Version,Day,13,B+,Dhaka,Bangladesh,ty,General,Agriculture,1762681303
Tushi 104,02/25/1973,Female,Islam,Tushi 104@example.com,1762681404,Dhaka,1,A,Bangla Version,Day,14,B+,Dhaka,Bangladesh,ffg,General,Agriculture,1762681304
Tushi 105,02/25/1974,Female,Islam,Tushi 105@example.com,1762681405,Comilla,1,A,Bangla Version,Day,15,B+,Comilla,Bangladesh,vhy,General,Agriculture,1762681305
Tushi 106,02/25/1975,Male,Islam,Tushi 106@example.com,1762681406,Comilla,1,A,Bangla Version,Day,16,AB+,Comilla,Bangladesh,bg,General,Agriculture,1762681306
