Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Tushi 1,08/05/2012,Female,Islam,tushi1@example.com,01762681301,Dhaka,1,A,Bangla Version,Morning,1,A+,Dhaka,Bangladesh,mmn,General,Physical Education,01762681201
Tushi 2,08/05/2012,Female,Islam,tushi2@example.com,01762681302,Dhaka,1,A,Bangla Version,Morning,2,A+,Dhaka,Bangladesh,hjhgh,General,Physical Education,01762681202
Tushi 3,08/05/2012,Female,Islam,tushi3@example.com,01762681303,Dhaka,1,A,Bangla Version,Morning,3,B+,Dhaka,Bangladesh,rrr,General,Physical Education,01762681203
Tushi 4,08/05/2012,Female,Islam,tushi4@example.com,01762681304,Dhaka,1,A,Bangla Version,Morning,4,B+,Dhaka,Bangladesh,erf,General,Physical Education,01762681204
Tushi 5,08/05/2012,Female,Islam,tushi5@example.com,01762681305,Comilla,1,A,Bangla Version,Morning,5,B+,Comilla,Bangladesh,fwee,General,Physical Education,01762681205
Tushi 6,08/05/2012,Male,Islam,tushi6@example.com,01762681306,Comilla,1,A,Bangla Version,Morning,6,AB+,Comilla,Bangladesh,rww,General,Physical Education,01762681206
Tushi 7,08/05/2012,Male,Islam,tushi7@example.com,01762681307,Comilla,1,A,Bangla Version,Morning,7,AB+,Comilla,Bangladesh,rtyu,General,Physical Education,01762681207
Tushi 8,08/05/2012,Male,Hindu,tushi8@example.com,01762681308,Chittagong,1,A,Bangla Version,Morning,8,O+,Chittagong,Bangladesh,uikgjg,General,Physical Education,01762681208
Tushi 9,08/05/2012,Male,Hindu,tushi9@example.com,01762681309,Chittagong,1,A,Bangla Version,Morning,9,O+,Chittagong,Bangladesh,hgy,General,Physical Education,01762681209
Tushi 10,08/05/2012,Male,Hindu,tushi10@example.com,01762681310,Sylhet,1,A,Bangla Version,Morning,10,O+,Sylhet,Bangladesh,yuii,General,Physical Education,01762681210
Tushi 11,08/05/2012,Female,Islam,tushi11@example.com,01762681311,Dhaka,1,B,Bangla Version,Morning,1,A+,Dhaka,Bangladesh,hgyyu,General,Physical Education,01762681211
Tushi 12,03/06/2012,Female,Islam,tushi12@example.com,01762681312,Dhaka,1,B,Bangla Version,Morning,2,A+,Dhaka,Bangladesh,vtyty,General,Physical Education,01762681212
Tushi 13,08/05/2012,Female,Islam,tushi13@example.com,01762681313,Dhaka,1,B,Bangla Version,Morning,3,B+,Dhaka,Bangladesh,njktjkhj,General,Physical Education,01762681213
Tushi 14,08/05/2012,Female,Islam,tushi14@example.com,01762681314,Dhaka,1,B,Bangla Version,Morning,4,B+,Dhaka,Bangladesh,oojhg,General,Physical Education,01762681214
Tushi 15,08/05/2012,Female,Islam,tushi15@example.com,01762681315,Comilla,1,B,Bangla Version,Morning,5,B+,Comilla,Bangladesh,popoo,General,Physical Education,01762681215
Tushi 16,08/05/2012,Male,Islam,tushi16@example.com,01762681316,Comilla,1,B,Bangla Version,Morning,6,AB+,Comilla,Bangladesh,mhjh,General,Physical Education,01762681216
Tushi 17,08/05/2012,Male,Islam,tushi17@example.com,01762681317,Comilla,1,B,Bangla Version,Morning,7,AB+,Comilla,Bangladesh,rerte,General,Physical Education,01762681217
Tushi 18,03/06/2012,Male,Hindu,tushi18@example.com,01762681318,Chittagong,1,B,Bangla Version,Morning,8,O+,Chittagong,Bangladesh,jhoiuoi,General,Physical Education,01762681218
Tushi 19,03/06/2012,Male,Hindu,tushi19@example.com,01762681319,Chittagong,1,B,Bangla Version,Morning,9,O+,Chittagong,Bangladesh,ghftyyuy,General,Physical Education,01762681219
Tushi 20,03/06/2012,Male,Hindu,tushi20@example.com,01762681320,Sylhet,1,B,Bangla Version,Morning,10,O+,Sylhet,Bangladesh,oyuyu,General,Physical Education,01762681220
Tushi 21,03/06/2012,Female,Islam,tushi21@example.com,01762681321,Dhaka,1,A,Bangla Version,Day,1,A+,Dhaka,Bangladesh,popkljk,General,Physical Education,01762681221
Tushi 22,03/06/2012,Female,Islam,tushi22@example.com,01762681322,Dhaka,1,A,Bangla Version,Day,2,A+,Dhaka,Bangladesh,ggyu,General,Physical Education,01762681222
Tushi 23,03/06/2012,Female,Islam,tushi23@example.com,01762681323,Dhaka,1,A,Bangla Version,Day,3,B+,Dhaka,Bangladesh,gfuuio,General,Physical Education,01762681223
Tushi 24,08/05/2012,Female,Islam,tushi24@example.com,01762681324,Dhaka,1,A,Bangla Version,Day,4,B+,Dhaka,Bangladesh,ouuuy,General,Physical Education,01762681224
Tushi 25,08/05/2012,Female,Islam,tushi25@example.com,01762681325,Comilla,1,A,Bangla Version,Day,5,B+,Comilla,Bangladesh,jhhh,General,Physical Education,01762681225
