Name,Dob,Gender,Religion,Mail,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Mustofa 81,05/22/2000,Male,Islam,Mustofa 81@example.com,1762144381,Dhaka,12,A,Bangla Version,Morning,11,A+,Dhaka,Bangladesh,ssd,Science,Biology,1762681081
Mustofa 82,05/22/2001,Male,Islam,Mustofa 82@example.com,1762144382,Dhaka,12,A,Bangla Version,Morning,12,A+,Dhaka,Bangladesh,hhjkjk,Science,Biology,1762681082
Mustofa 83,05/22/2002,Male,Islam,Mustofa 83@example.com,1762144383,Dhaka,12,A,Bangla Version,Morning,13,A+,Dhaka,Bangladesh,joiio,Science,Biology,1762681083
Mustofa 84,05/22/2003,Male,Islam,Mustofa 84@example.com,1762144384,Dhaka,12,A,Bangla Version,Morning,14,A+,Dhaka,Bangladesh,kklm,Commerce,Statistics,1762681084
Mustofa 85,05/22/2004,Male,Islam,Mustofa 85@example.com,1762144385,Dhaka,12,A,Bangla Version,Morning,15,B+,Dhaka,Bangladesh,jjjk,Commerce,Statistics,1762681085
Mustofa 86,05/22/2005,Female,Islam,Mustofa 86@example.com,1762144386,Dhaka,12,A,Bangla Version,Morning,16,B+,Dhaka,Bangladesh,bhgyr,Commerce,Statistics,1762681086
Mustofa 87,05/22/2006,Female,Islam,Mustofa 87@example.com,1762144387,Dhaka,12,A,Bangla Version,Morning,17,B+,Dhaka,Bangladesh,jhhh,Humanities,Pouroniti,1762681087
Mustofa 88,05/22/2007,Female,Islam,Mustofa 88@example.com,1762144388,Tangail,12,A,Bangla Version,Morning,18,AB+,Dhaka,Bangladesh,jkhieie,Humanities,Pouroniti,1762681088
Mustofa 89,05/22/2008,Male,Hindu ,Mustofa 89@example.com,1762144389,Tangail,12,A,Bangla Version,Morning,19,O+,Dhaka,Bangladesh,mjkjk,Humanities,Pouroniti,1762681089
Mustofa 90,05/22/2009,Male,Hindu ,Mustofa 90@example.com,1762144390,Tangail,12,A,Bangla Version,Morning,20,O+,Dhaka,Bangladesh,nfdkl,Humanities,Pouroniti,1762681090
Mustofa 91,05/22/2010,Male,Islam,Mustofa 91@example.com,1762144391,Tangail,12,B,Bangla Version,Morning,11,O+,Dhaka,Bangladesh,jkfjfjoj,Science,Biology,1762681091
Mustofa 92,05/22/2011,Male,Hindu ,Mustofa 92@example.com,1762144392,Tangail,12,B,Bangla Version,Morning,12,B+,Dhaka,Bangladesh,mfnkjkkl,Science,Biology,1762681092
Mustofa 93,05/22/2012,Male,Hindu ,Mustofa 93@example.com,1762144393,Tangail,12,B,Bangla Version,Morning,13,B+,Dhaka,Bangladesh,kjijk,Science,Biology,1762681093
Mustofa 94,05/22/2013,Female,Islam,Mustofa 94@example.com,1762144394,Manikganj,12,B,Bangla Version,Morning,14,B+,Dhaka,Bangladesh,kjkjiuioi,Commerce,Statistics,1762681094
Mustofa 95,05/22/2014,Female,Islam,Mustofa 95@example.com,1762144395,Manikganj,12,B,Bangla Version,Morning,15,B+,Dhaka,Bangladesh,kiiuop,Commerce,Statistics,1762681095
Mustofa 96,05/22/2015,Female,Islam,Mustofa 96@example.com,1762144396,Manikganj,12,B,Bangla Version,Morning,16,A+,Dhaka,Bangladesh,yhwgh,Commerce,Statistics,1762681096
Mustofa 97,05/22/2016,Male,Islam,Mustofa 97@example.com,1762144397,Manikganj,12,B,Bangla Version,Morning,17,A+,Dhaka,Bangladesh,kiu,Humanities,Pouroniti,1762681097
Mustofa 98,05/22/2017,Male,Islam,Mustofa 98@example.com,1762144398,Manikganj,12,B,Bangla Version,Morning,18,A+,Dhaka,Bangladesh,ripop,Humanities,Pouroniti,1762681098
Mustofa 99,05/22/2018,Male,Islam,Mustofa 99@example.com,1762144399,Sylhet,12,B,Bangla Version,Morning,19,A+,Dhaka,Bangladesh,njjkll,Humanities,Pouroniti,1762681099
Mustofa 100,05/22/2019,Male,Islam,Mustofa 100@example.com,1762144400,Sylhet,12,B,Bangla Version,Morning,20,A+,Dhaka,Bangladesh,kejor,Humanities,Pouroniti,1762681100
Mustofa 101,05/22/2020,Male,Hindu ,Mustofa 101@example.com,1762144401,Sylhet,12,A,Bangla Version,Day,11,B+,Dhaka,Bangladesh,nfnj,Science,Biology,1762681101
Mustofa 102,05/22/2021,Male,Hindu ,Mustofa 102@example.com,1762144402,Sylhet,12,A,Bangla Version,Day,12,B+,Dhaka,Bangladesh,iuiuuoip,Science,Biology,1762681102
Mustofa 103,05/22/2022,Male,Hindu ,Mustofa 103@example.com,1762144403,Sylhet,12,A,Bangla Version,Day,13,O+,Dhaka,Bangladesh,ioliopi,Science,Biology,1762681103
Mustofa 104,05/22/2023,Female,Islam,Mustofa 104@example.com,1762144404,Sylhet,12,A,Bangla Version,Day,14,O+,Dhaka,Bangladesh,ooui,Commerce,Statistics,1762681104
Mustofa 105,05/22/2024,Female,Islam,Mustofa 105@example.com,1762144405,Sylhet,12,A,Bangla Version,Day,15,O+,Dhaka,Bangladesh,iyuyu,Commerce,Statistics,1762681105
Mustofa 106,05/22/2025,Female,Islam,Mustofa 106@example.com,1762144406,Sylhet,12,A,Bangla Version,Day,16,B+,Dhaka,Bangladesh,juttty,Commerce,Statistics,1762681106
Mustofa 107,05/22/2026,Female,Islam,Mustofa 107@example.com,1762144407,Sylhet,12,A,Bangla Version,Day,17,B+,Dhaka,Bangladesh,pru,Humanities,Pouroniti,1762681107
Mustofa 108,05/22/2027,Female,Islam,Mustofa 108@example.com,1762144408,Sylhet,12,A,Bangla Version,Day,18,B+,Dhaka,Bangladesh,uoopi,Humanities,Pouroniti,1762681108
Mustofa 109,05/22/2028,Female,Islam,Mustofa 109@example.com,1762144409,Sylhet,12,A,Bangla Version,Day,19,A+,Dhaka,Bangladesh,roioo,Humanities,Pouroniti,1762681109
Mustofa 110,05/22/2029,Male,Hindu ,Mustofa 110@example.com,1762144410,Dhaka,12,A,Bangla Version,Day,20,A+,Dhaka,Bangladesh,ttrue,Humanities,Pouroniti,1762681110
Mustofa 111,05/22/2030,Male,Hindu ,Mustofa 111@example.com,1762144411,Dhaka,12,B,Bangla Version,Day,11,A+,Dhaka,Bangladesh,yuuueuio,Science,Biology,1762681111
Mustofa 112,05/22/2031,Male,Hindu ,Mustofa 112@example.com,1762144412,Dhaka,12,B,Bangla Version,Day,12,A+,Dhaka,Bangladesh,ioopu,Science,Biology,1762681112
Mustofa 113,05/22/2032,Male,Hindu ,Mustofa 113@example.com,1762144413,Dhaka,12,B,Bangla Version,Day,13,A+,Dhaka,Bangladesh,jhhjp,Science,Biology,1762681113
Mustofa 114,05/22/2033,Male,Islam,Mustofa 114@example.com,1762144414,Dhaka,12,B,Bangla Version,Day,14,AB+,Dhaka,Bangladesh,juyt,Commerce,Statistics,1762681114
Mustofa 115,05/22/2034,Male,Islam,Mustofa 115@example.com,1762144415,Dhaka,12,B,Bangla Version,Day,15,AB+,Dhaka,Bangladesh,ygiooii,Commerce,Statistics,1762681115
Mustofa 116,05/22/2035,Male,Islam,Mustofa 116@example.com,1762144416,Dhaka,12,B,Bangla Version,Day,16,A+,Dhaka,Bangladesh,uttrter,Commerce,Statistics,1762681116
Mustofa 117,05/22/2036,Male,Islam,Mustofa 117@example.com,1762144417,Dhaka,12,B,Bangla Version,Day,17,B+,Dhaka,Bangladesh,ffggg,Humanities,Pouroniti,1762681117
Mustofa 118,05/22/2037,Female,Islam,Mustofa 118@example.com,1762144418,Tangail,12,B,Bangla Version,Day,18,B+,Dhaka,Bangladesh,oiie ipoo,Humanities,Pouroniti,1762681118
Mustofa 119,05/22/2038,Female,Islam,Mustofa 119@example.com,1762144419,Tangail,12,B,Bangla Version,Day,19,O+,Dhaka,Bangladesh,jloiio,Humanities,Pouroniti,1762681119
Mustofa 120,05/22/2039,Female,Islam,Mustofa 120@example.com,1762144420,Tangail,12,B,Bangla Version,Day,20,O+,Dhaka,Bangladesh,puuy,Humanities,Pouroniti,1762681120
Mustofa 121,05/22/2040,Female,Islam,Mustofa 121@example.com,1762144421,Tangail,12,A,English Version,Morning,11,O+,Dhaka,Bangladesh,ujuii,Science,Biology,1762681121
Mustofa 122,05/22/2041,Female,Hindu ,Mustofa 122@example.com,1762144422,Tangail,12,A,English Version,Morning,12,B+,Dhaka,Bangladesh,jiuiooi,Science,Biology,1762681122
Mustofa 123,05/22/2042,Male,Hindu ,Mustofa 123@example.com,1762144423,Tangail,12,A,English Version,Morning,13,B+,Dhaka,Bangladesh,opoiu,Science,Biology,1762681123
Mustofa 124,05/22/2043,Male,Hindu ,Mustofa 124@example.com,1762144424,Manikganj,12,A,English Version,Morning,14,B+,Dhaka,Bangladesh,gftytety,Commerce,Statistics,1762681124
Mustofa 125,05/22/2044,Male,Hindu ,Mustofa 125@example.com,1762144425,Manikganj,12,A,English Version,Morning,15,AB+,Dhaka,Bangladesh,uiyg,Commerce,Statistics,1762681125
Mustofa 126,05/22/2045,Male,Islam,Mustofa 126@example.com,1762144426,Manikganj,12,A,English Version,Morning,16,AB+,Dhaka,Bangladesh,jjfjoj,Commerce,Statistics,1762681126
Mustofa 127,05/22/2046,Male,Islam,Mustofa 127@example.com,1762144427,Manikganj,12,A,English Version,Morning,17,A+,Dhaka,Bangladesh,huurioop,Humanities,Pouroniti,1762681127
Mustofa 128,05/22/2047,Female,Islam,Mustofa 128@example.com,1762144428,Manikganj,12,A,English Version,Morning,18,A+,Dhaka,Bangladesh,jtuiou,Humanities,Pouroniti,1762681128
Mustofa 129,05/22/2048,Female,Islam,Mustofa 129@example.com,1762144429,Sylhet,12,A,English Version,Morning,19,A+,Dhaka,Bangladesh,jkhioop,Humanities,Pouroniti,1762681129
Mustofa 130,05/22/2049,Female,Islam,Mustofa 130@example.com,1762144430,Sylhet,12,A,English Version,Morning,20,A+,Dhaka,Bangladesh,irouuio,Humanities,Pouroniti,1762681130
Mustofa 131,05/22/2050,Male,Islam,Mustofa 131@example.com,1762144431,Sylhet,12,B,English Version,Morning,11,A+,Dhaka,Bangladesh,opro,Science,Biology,1762681131
Mustofa 132,05/22/2051,Male,Islam,Mustofa 132@example.com,1762144432,Sylhet,12,B,English Version,Morning,12,AB+,Dhaka,Bangladesh,rtoiooi,Science,Biology,1762681132
Mustofa 133,05/22/2052,Male,Hindu ,Mustofa 133@example.com,1762144433,Sylhet,12,B,English Version,Morning,13,AB+,Dhaka,Bangladesh,hhuhg,Science,Biology,1762681133
Mustofa 134,05/22/2053,Male,Hindu ,Mustofa 134@example.com,1762144434,Sylhet,12,B,English Version,Morning,14,AB+,Dhaka,Bangladesh,jfkjirio,Commerce,Statistics,1762681134
