Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Sobuj1,05/06/2000,Male,Islam,sobuj1@example.com,01762681401,Dhaka,9,A,Bangla Version,Morning,1,A+,Dhaka,Bangladesh,ssd,Science,Biology,01762681301
Sobuj2,10/12/2000,Male,Islam,sobuj2@example.com,01762681402,Dhaka,9,A,Bangla Version,Morning,2,A+,Dhaka,Bangladesh,hhjkjk,Science,Biology,01762681302
Sobuj3,10/12/2000,Male,Islam,sobuj3@example.com,01762681403,Dhaka,9,A,Bangla Version,Morning,3,A+,Dhaka,Bangladesh,joiio,Science,Biology,01762681303
Sobuj4,10/12/2000,Male,Islam,sobuj4@example.com,01762681404,Dhaka,9,A,Bangla Version,Morning,4,A+,Dhaka,Bangladesh,kklm,Commerce,Statistics,01762681304
Sobuj5,05/06/2000,Male,Islam,sobuj5@example.com,01762681405,Dhaka,9,A,Bangla Version,Morning,5,B+,Dhaka,Bangladesh,jjjk,Commerce,Statistics,01762681305
Sobuj6,05/06/2000,Female,Islam,sobuj6@example.com,01762681406,Dhaka,9,A,Bangla Version,Morning,6,B+,Dhaka,Bangladesh,bhgyr,Commerce,Statistics,01762681306
Sobuj7,05/06/2000,Female,Islam,sobuj7@example.com,01762681407,Dhaka,9,A,Bangla Version,Morning,7,B+,Dhaka,Bangladesh,jhhh,Humanities,Pouroniti,01762681307
Sobuj8,05/06/2000,Female,Islam,sobuj8@example.com,01762681408,Tangail,9,A,Bangla Version,Morning,8,AB+,Dhaka,Bangladesh,jkhieie,Humanities,Pouroniti,01762681308
Sobuj9,10/12/2000,Male,Hindu ,sobuj9@example.com,01762681409,Tangail,9,A,Bangla Version,Morning,9,O+,Dhaka,Bangladesh,mjkjk,Humanities,Pouroniti,01762681309
Sobuj10,10/12/2000,Male,Hindu ,sobuj10@example.com,01762681410,Tangail,9,A,Bangla Version,Morning,10,O+,Dhaka,Bangladesh,nfdkl,Humanities,Pouroniti,01762681310
