Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Tarek 1,12/01/2010,Male,Islam,tarek1@example.com,01915622211,Dhaka,2,A,Bangla Version,Morning,1,A+,Dhaka,Bangladesh,tryrdyh,General,Physical Education,01711638281
Tarek 2,12/02/2010,Female,hindu,tarek2@example.com,01915622212,Chittagong,2,A,Bangla Version,Morning,2,B+,Chittagong,Bangladesh,dfgf,General,Physical Education,01711638282
Tarek 3,12/03/2010,Female,Islam,tarek3@example.com,01915622213,Khulna ,2,A,Bangla Version,Morning,3,B+,Khulna ,Bangladesh,fhgygfu,General,Physical Education,01711638283
Tarek 4,12/04/2010,Female,Islam,tarek4@example.com,01915622214,Rajshahi,2,A,Bangla Version,Morning,4,B+,Rajshahi,Bangladesh,ftyh,General,Physical Education,01711638284
Tarek 5,12/05/2010,Female,Islam,tarek5@example.com,01915622215,Barishal,2,A,Bangla Version,Morning,5,B+,Barishal,Bangladesh,ftuygj,General,Physical Education,01711638285
Tarek 6,12/06/2010,Male,Islam,tarek6@example.com,01915622216,Dhaka,2,A,Bangla Version,Morning,6,A+,Dhaka,Bangladesh,fcghgk,General,Physical Education,01711638286
Tarek 7,12/07/2010,Male,Islam,tarek7@example.com,01915622217,Dhaka,2,A,Bangla Version,Morning,7,A+,Dhaka,Bangladesh,hkjhlkh,General,Physical Education,01711638287
Tarek 8,12/08/2010,Male,Islam,tarek8@example.com,01915622218,Dhaka,2,A,Bangla Version,Morning,8,A+,Dhaka,Bangladesh,bhjhkjhgj,General,Physical Education,01711638288
Tarek 9,12/09/2010,Male,Islam,tarek9@example.com,01915622219,Dhaka,2,A,Bangla Version,Morning,9,A+,Dhaka,Bangladesh,ghujgfch,General,Physical Education,01711638289
Tarek 10,12/10/2010,Male,Islam,tarek10@example.com,01915622220,Dhaka,2,A,Bangla Version,Morning,10,A+,Dhaka,Bangladesh,frthhjmhb,General,Physical Education,01711638290
Tarek 11,12/11/2010,Male,Islam,tarek11@example.com,01915622221,Dhaka,2,B,Bangla Version,Morning,11,A+,Dhaka,Bangladesh,mjkjbn,General,Physical Education,01711638291
Tarek 12,12/12/2010,Female,Islam,tarek12@example.com,01915622222,Chittagong,2,B,Bangla Version,Morning,12,B+,Chittagong,Bangladesh,"m,m.ggch",General,Physical Education,01711638292
Tarek 13,12/13/2010,Female,Islam,tarek13@example.com,01915622223,Khulna ,2,B,Bangla Version,Morning,13,B+,Khulna ,Bangladesh,gtfhjg,General,Physical Education,01711638293
